Symbol,Year,NetIncome,DepreciationAndAmortization,DeferredIncomeTax,StockBasedCompensation,ChangeInWorkingCapital,AccountsReceivables,Inventory,AccountsPayables,OtherWorkingCapital,OtherNonCashItems,NetCashProvidedByOperatingActivities,InvestmentsInPropertyPlantAndEquipment,AcquisitionsNet,PurchasesOfInvestments,SalesMaturitiesOfInvestments,OtherInvestingActivites,NetCashUsedForInvestingActivites,DebtRepayment,CommonStockRepurchased,DividendsPaid,OtherFinancingActivites,NetCashUsedProvidedByFinancingActivities,EffectOfForexChangesOnCash,NetChangeInCash,CashAtEndOfPeriod,CashAtBeginningOfPeriod,OperatingCashFlow,CapitalExpenditure,FreeCashFlow
EA,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT,2021,-532000000,158000000,27000000,321000000,464000000,-145000000,0,501000000,108000000,242000000,680000000,-6000000,-7000000,-1590000000,1379000000,7000000,-217000000,-66000000,0,0,-58497753,234000000,-66000000,631000000,3114000000,2483000000,680000000,-6000000,674000000
ROKU,2021,-709561000,128026000,0,370130000,205963000,-56937000,14725000,248175000,-205963000,467261000,255856000,-82619000,0,-10000000,0,0,-92619000,0,0,0,-61243000,-61243000,2654000,104648000,2066604000,1961956000,255856000,-82619000,173237000
LYV,2021,409193000,449976000,7199000,110049000,637853000,-463977000,0,1002158000,99672000,217793000,1832063000,-353286000,-344514000,0,5220000,-92111000,-784691000,-45792000,0,0,-133323000,-143340000,-179450000,724582000,5612374000,4887792000,1832063000,-353286000,1478777000
DIS,2021,3390000000,5369000000,-1346000000,1143000000,177000000,358000000,-183000000,-1142000000,1144000000,1133000000,9866000000,-4969000000,0,0,458000000,-130000000,-4641000000,-1866000000,0,0,-858000000,-2724000000,73000000,2574000000,14235000000,11661000000,9866000000,-4969000000,4897000000
AMC,2021,-973600000,396000000,1700000,22500000,-73300000,4000000,0,-40400000,-36900000,-1800000,-628500000,-219800000,-27900000,0,13000000,10700000,-224000000,-1449400000,0,-700000,1358800000,-91300000,-22100000,-965900000,654400000,1620300000,-628500000,-219800000,-848300000
SIX,2021,153579000,117124000,30638000,7673000,-83176000,48648000,-28856000,-79585000,-23383000,43523000,269361000,-116589000,0,0,0,5080000,-111509000,-473616000,-96774000,-200000,154793000,-414758000,1443000,-255463000,80122000,335585000,269361000,-116589000,152772000
Z,2021,-158000000,222000000,-20000000,451000000,-165000000,-24000000,-127000000,6000000,-147000000,4000000,354000000,-165000000,-433000000,-664000000,1287000000,-60000000,25000000,-56000000,-424000000,0,128000000,-352000000,0,27000000,1495000000,1468000000,354000000,-165000000,189000000
EQR,2021,953268000,13095000,0,0,0,0,0,0,0,-966363000,966363000,0,0,0,0,0,0,0,0,0,0,0,0,966363000,966363000,0,966363000,0,966363000
AVB,2021,1136438000,814978000,0,33864000,10009000,0,0,0,0,-573357000,1421932000,-174705000,-14269000,0,0,-371445000,-560419000,-143332000,0,-890031000,342287000,-671056000,0,190457000,734245000,543788000,1421932000,-174705000,1247227000
PLD,2021,3253145000,2484891000,17708000,267648000,152449000,-102610000,0,255059000,-152449000,-802783000,5373058000,0,0,0,37113000,-6456510000,-6419397000,0,0,-3228589000,4548871000,1320282000,-22038000,251905000,530388000,278483000,5373058000,0,5373058000
AMT,2021,1696700000,3355100000,-236700000,169300000,-1609900000,-78600000,0,-48200000,-1483100000,321700000,3696200000,-1873600000,-549000000,0,19600000,47800000,-2355200000,-9625500000,-18800000,-2630400000,8559800000,-1423200000,-120400000,-202600000,2140700000,2343300000,3696200000,-1873600000,1822600000
HST,2021,643000000,664000000,20000000,26000000,49000000,0,0,0,49000000,14000000,1416000000,-504000000,-301000000,0,0,187000000,-618000000,-685000000,-27000000,-150000000,-13000000,-874000000,-3000000,-79000000,874000000,953000000,1416000000,-504000000,912000000
MAC,2021,-274065000,282361000,0,0,0,0,0,0,0,-8296000,8296000,0,0,0,0,0,0,0,0,0,0,0,0,8296000,8296000,0,8296000,0,8296000
VNO,2021,32888000,457574000,17020000,43201000,-25579000,0,0,10723000,-36302000,123048000,648152000,0,-71513000,0,468598000,-525873000,-128788000,-148000000,-29208000,-191182000,89307000,-278937000,0,240427000,1261584000,1021157000,648152000,0,648152000
CCI,2021,1502000000,1754000000,8000000,157000000,0,0,0,0,0,-295000000,3126000000,-1424000000,-96000000,0,0,1000000,-1519000000,-1241000000,-30000000,-2723000000,2340000000,-1654000000,1000000,-46000000,281000000,327000000,3126000000,-1424000000,1702000000
SLG,2021,-599337000,247810000,0,0,0,0,0,0,0,351527000,-351527000,0,0,0,0,0,0,0,0,0,0,0,0,-351527000,-351527000,0,-351527000,0,-351527000
